2025-01-31 15:53:42.391 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 2
2025-01-31 15:53:42.398 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 3
2025-01-31 15:53:42.409 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 16:23:26.333 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 16:23:26.390 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser2: null
2025-01-31 16:23:26.442 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 16:23:26.453 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 16:23:26.494 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser:   Test   Message  
2025-01-31 16:23:26.500 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 16:23:28.754 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 16:23:28.781 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 16:23:30.854 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 16:23:30.899 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 16:23:32.954 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: Test Message
2025-01-31 16:23:32.967 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 16:23:35.048 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 16:23:35.084 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser2: <empty>
2025-01-31 16:23:35.097 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: test message
2025-01-31 16:23:35.102 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 16:23:37.186 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 16:23:37.195 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 16:23:37.234 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 16:23:37.238 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 2
2025-01-31 16:23:37.247 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 3
2025-01-31 16:23:37.251 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
